id	title	price_pc	benefit_price	normal_price	link	mobile_link	image_link	add_image_link	category_name1	category_name2	category_name3	category_name4	naver_category	brand	brand_certification	maker	origin	search_tag	shipping	attribute	gender
MAT250919003_PGE_IRE	[부산출발] 마카오+계림 5일	999900			https://ire.modetour.co.kr/product-common/30370?type=group	https://m-ire.modetour.co.kr/product-common/30370?type=group	https://img.modetour.com/eagle/photoimg/79276/rfile/638561347986942512.jpg		여가/생활편의	해외여행	해외패키지/기타	부산출발 기획전/마카오/계림 3박5일	50007257	모두투어	Y	이레투어클럽	대한민국	마카오|계림	0	마카오^계림	남녀공용
MAT251014018_PGE_IRE	북경/만리장성 4일 [노팁/노옵션/노쇼핑/유니버셜스튜디오]	999900			https://ire.modetour.co.kr/product-common/30836?type=group	https://m-ire.modetour.co.kr/product-common/30836?type=group	https://img.modetour.com/eagle/photoimg/72886/rfile/638261330564835865.jpg		여가/생활편의	해외여행	해외패키지/기타	김포출발 북경 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	만리장성|이화원|북경|수도|오리구이|북경 유니버셜	0	만리장성^이화원^북경^수도^오리구이^북경^유니버셜	남녀공용
MAT260119009_PGE_IRE	[시니어추천][쿠폰할인]장가계 봉황고성 (와채대교+차마웅풍)패키지 5/6일	1009000			https://ire.modetour.co.kr/product-common/35478?type=group	https://m-ire.modetour.co.kr/product-common/35478?type=group	https://img.modetour.com/eagle/photoimg/74557/rfile/638942180452386638.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 장가계 4박5일	50007257	모두투어	Y	이레투어클럽	대한민국	장가계|봉황고성|와채 대교|차마웅풍	0	장가계^봉황고성^와채^대교^차마웅풍	남녀공용
MAT250207180_PGE_IRE	[4명이상-ONLY우리만] 상해 핵심투어 3/4일	1010700			https://ire.modetour.co.kr/product-common/19090?type=group	https://m-ire.modetour.co.kr/product-common/19090?type=group	https://img.modetour.com/eagle/photoimg/10831/rfile/636150025441169785.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 상해 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	월드체인호텔|인증샷_상해|신천지|타이캉로|상해옛거리|임시정부청사|스타벅스리저브	0	월드체인호텔^인증샷_상해^신천지^타이캉로^상해옛거리^임시정부청사^스타벅스리저브	남녀공용
MAT260306065_PGE_IRE	[시그니처 블랙][노쇼핑,노옵션,노팁]연길/장춘/심양/백두산 북파+서파 4일	1029000			https://ire.modetour.co.kr/product-common/38060?type=group	https://m-ire.modetour.co.kr/product-common/38060?type=group	https://img.modetour.com/eagle/photoimg/1410/rfile/635303471498254642.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 기획전/장춘 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	천지 2회|장백폭포|금강대협곡|온천지대	0	천지^2회^장백폭포^금강대협곡^온천지대	남녀공용
MAT251201084_PGE_IRE	[유류세변동없음][청주출발][시그니처]장가계 신규관광지 모암하 노팁/노옵션 (구천동굴+평호유람산)패키지 4/5일	1029000			https://ire.modetour.co.kr/product-common/33480?type=group	https://m-ire.modetour.co.kr/product-common/33480?type=group	https://img.modetour.com/eagle/photoimg/85171/rfile/638902686995848571.jpg		여가/생활편의	해외여행	해외패키지/기타	청주출발 장가계 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	청주출발|장가계|모암하|구천동굴	0	청주출발^장가계^모암하^구천동굴	남녀공용
MAT240206004_PGE_IRE	홍콩+심천+마카오 4/5일	1038900			https://ire.modetour.co.kr/product-common/3761?type=group	https://m-ire.modetour.co.kr/product-common/3761?type=group	https://img.modetour.com/eagle/photoimg/46848/rfile/638720269486876368.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 홍콩 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	홍콩핵심투어|심천민속촌|소인국테마파크|유네스코세계문화유산|한번에3도시	0	홍콩핵심투어^심천민속촌^소인국테마파크^유네스코세계문화유산^한번에3도시	남녀공용
MAT250827055_PGE_IRE	[시그니처] 장가계 노팁/노옵션/쇼핑1회 (천문산사+귀곡잔도+유리잔도) 패키지 4~6일	1039000			https://ire.modetour.co.kr/product-common/29345?type=group	https://m-ire.modetour.co.kr/product-common/29345?type=group	https://img.modetour.com/eagle/photoimg/10890/rfile/636695191429163153.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 장가계 4박5일	50007257	모두투어	Y	이레투어클럽	대한민국	장가계|원가계|천문산|노팁|노옵션	0	장가계^원가계^천문산^노팁^노옵션	남녀공용
MAT260423036_PGE_IRE	■딱3주만/MD추천■[시그니처] 장사-장가계 노팁/노옵션/쇼핑1회 패키지	1039000			https://ire.modetour.co.kr/product-common/41017?type=group	https://m-ire.modetour.co.kr/product-common/41017?type=group	https://img.modetour.com/eagle/photoimg/10896/rfile/638902607727056387.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 기획전/장가계 3박5일	50007257	모두투어	Y	이레투어클럽	대한민국	노옵션|천문산|노팁|72기루|십리화랑	0	노옵션^천문산^노팁^72기루^십리화랑	남녀공용
MAT260105039_PGE_IRE	[시그니처] 북경/만리장성 (노팁/노옵션) 패키지 4일	1039900			https://ire.modetour.co.kr/product-common/34730?type=group	https://m-ire.modetour.co.kr/product-common/34730?type=group	https://img.modetour.com/eagle/photoimg/10815/rfile/635888101532924702.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 북경 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	만리장성|이화원|북경|수도|오리구이|천안문|자금성|즉시할인	0	만리장성^이화원^북경^수도^오리구이^천안문^자금성^즉시할인	남녀공용
MAT260416012_PGE_IRE	[대구출발] 청도 시내 파크골프 4일(파크뷰)	1054900			https://ire.modetour.co.kr/product-common/40471?type=group	https://m-ire.modetour.co.kr/product-common/40471?type=group	https://img.modetour.com/eagle/photoimg/83550/rfile/638815362210003511.jpg		여가/생활편의	해외여행	해외패키지/기타	대구출발 청도 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	청도|무제한파크골프|대구출발	0	청도^무제한파크골프^대구출발	남녀공용
MAT260109050_PGE_IRE	[홈쇼핑동시판매]서안 화산 완전정복 4/5일 (시그니처/풀만호텔/노팁/노쇼핑/4대특식)	1059000			https://ire.modetour.co.kr/product-common/35106?type=group	https://m-ire.modetour.co.kr/product-common/35106?type=group	https://img.modetour.com/eagle/photoimg/81053/rfile/638676113126201576.png		여가/생활편의	해외여행	해외패키지/기타	서울출발 서안 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	서안완전정복|화산|풀만호텔|노팁노쇼핑|시그니처|4대특식	0	서안완전정복^화산^풀만호텔^노팁노쇼핑^시그니처^4대특식	남녀공용
MAT260105034_PGE_IRE	[시그니처] 북경(노팁/노옵션/고북수진Watertown Hotel1박) 패키지 4일	1059900			https://ire.modetour.co.kr/product-common/34725?type=group	https://m-ire.modetour.co.kr/product-common/34725?type=group	https://img.modetour.com/eagle/photoimg/49142/rfile/636287977644156359.jpg		여가/생활편의	해외여행	해외패키지/기타	김포출발 북경 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	오리구이|고북수진|이화원|전문대가|노팁노옵션|월드체인|금면왕조|발마사지|시그니처	0	오리구이^고북수진^이화원^전문대가^노팁노옵션^월드체인^금면왕조^발마사지^시그니처	남녀공용
MAT251223025_PGE_IRE	[시그니처] 청도 4/5일 (5성호텔/노팁/노옵션/쇼핑1회)	1059900			https://ire.modetour.co.kr/product-common/34326?type=group	https://m-ire.modetour.co.kr/product-common/34326?type=group	https://img.modetour.com/eagle/photoimg/21622/rfile/638290711813745153.jpg		여가/생활편의	해외여행	해외패키지/기타	대구출발 기획전/청도 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	노팁|노옵션|5성호텔|쇼핑1회|시그니처	0	노팁^노옵션^5성호텔^쇼핑1회^시그니처	남녀공용
MAT260428036_PGE_IRE	[시그니처] 청도 4/5일 (5성호텔/노팁/노옵션/쇼핑1회)	1059900			https://ire.modetour.co.kr/product-common/41130?type=group	https://m-ire.modetour.co.kr/product-common/41130?type=group	https://img.modetour.com/eagle/photoimg/21622/rfile/638290711813745153.jpg		여가/생활편의	해외여행	해외패키지/기타	대구출발 기획전/청도 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	노팁|노옵션|5성호텔|쇼핑1회|시그니처	0	노팁^노옵션^5성호텔^쇼핑1회^시그니처	남녀공용
MAT250829028_PGE_IRE	[시그니처] 서안 핫플레이스 완정정복 4일 [4인출발/성벽야경/더푸샹거리/완샹청핫플]	1079000			https://ire.modetour.co.kr/product-common/29551?type=group	https://m-ire.modetour.co.kr/product-common/29551?type=group	https://img.modetour.com/eagle/photoimg/85508/rfile/638919767436228784.jpg		여가/생활편의	해외여행	해외패키지/기타	서울출발 서안 3박4일	50007257	모두투어	Y	이레투어클럽	대한민국	당삼채박물관|더푸샹거리|완샹청|생명의나무|서안성벽 아경투어|서안여행|핫플레이스	0	당삼채박물관^더푸샹거리^완샹청^생명의나무^서안성벽^아경투어^서안여행^핫플레이스	남녀공용
